Strategy,Timeframe,TotalTrades,WinRate,ProfitFactor,Return,BuyTrades,BuyWinRate,SellTrades,SellWinRate,Score
liquidity_hunter,1m,114,16.67,0.13,-95.23,57,21.05,57,12.28,0.0
liquidity_hunter,3m,120,30.83,0.33,-81.38,84,38.1,36,13.89,0.0
liquidity_hunter,5m,124,33.06,0.41,-77.08,73,34.25,51,31.37,0.0
liquidity_hunter,15m,130,38.46,0.47,-62.54,81,41.98,49,32.65,0.0
liquidity_hunter,30m,126,35.71,0.45,-64.46,67,31.34,59,40.68,0.0
liquidity_hunter,1h,126,45.24,0.64,-43.59,56,33.93,70,54.29,0.0
liquidity_hunter,2h,121,52.89,0.98,-2.3,52,51.92,69,53.62,0.0
liquidity_hunter,4h,73,45.21,0.6,-28.77,34,41.18,39,48.72,0.0
liquidity_hunter,6h,48,33.33,0.4,-32.55,16,25.0,32,37.5,0.0
liquidity_hunter,8h,35,57.14,1.07,2.05,9,44.44,26,61.54,1.25
liquidity_hunter,12h,20,50,0.71,-5.66,5,20.0,15,60.0,0.0
liquidity_hunter,1d,5,80,3.11,4.46,0,0,5,80.0,11.1
session_trader,1m,146,24.66,0.06,-99.59,140,25.0,6,16.67,0.0
session_trader,3m,147,32.65,0.38,-92.7,139,33.81,8,12.5,0.0
session_trader,5m,147,29.25,0.25,-92.56,140,30.0,7,14.29,0.0
session_trader,15m,147,40.14,0.52,-71.49,138,39.86,9,44.44,0.0
session_trader,30m,148,39.86,0.57,-64.82,138,37.68,10,70.0,0.0
session_trader,1h,148,33.78,0.46,-73.25,130,32.31,18,44.44,0.0
session_trader,2h,146,36.3,0.59,-60.44,127,34.65,19,47.37,0.0
session_trader,4h,80,37.5,0.66,-30.38,65,36.92,15,40.0,0.0
session_trader,6h,50,34,0.51,-30.64,38,34.21,12,33.33,0.0
session_trader,8h,35,42.86,0.66,-13.86,27,40.74,8,50.0,0.0
session_trader,12h,20,25,0.32,-19.98,19,26.32,1,0.0,0.0
session_trader,1d,5,60,1.29,1.26,4,50.0,1,100.0,0.98
breakout_master,1m,144,18.75,0.12,-99.72,132,18.18,12,25.0,0.0
